Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,35.1,421.2,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),,Classic Load Balancer,0,44.18,530.16,USD,"Number of Classic Load Balancers (2), Processed bytes per CLB (480 GB per month)"
My Estimate,US East (Ohio),,Amazon EC2,0,2060.16,24721.92,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances 3 Year No Upfront), Storage amount (128 GB), Instance type (m5a.4xlarge)"
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,5350.82,64209.84,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1024 GB), Quantity (2), Instance type (db.r6g.8xlarge), Deployment option (Single-AZ), Pricing strategy (OnDemand), Additional backup storage (1024 GB)"
My Estimate,US East (Ohio),,S3 Standard,0,6.19,74.28,USD,S3 Standard storage (128 GB per month)
My Estimate,US East (Ohio),,Amazon Elastic File System (EFS),0,12303.36,147640.32,USD,"Data stored in Standard storage (512 GB per month), Data stored in Infrequent Access storage (512 GB per month), Infrequent Access requests (256 GB per month), Provisioned Throughput (2 GB/s per month)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
,,,,,,,,
Increasing the tranfer rate was essential for quick response time.,,,,,,,,
